"68","Highlands Christian School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"69","Hilldale School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"70","Hillsdale High School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"71","Hillview Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"72","Hillwood Academic School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"73","Holy Angels School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"74","Holy Name School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"75","ICA Cristo Rey Academy","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"76","Immaculate Heart of Mary","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"77","Ingrid B. Lacy Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"78","International High School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"79","James Denman Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"80","James Lick Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"81","Junipero Serra High School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"82","Katherine Delmar Burke School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"83","Kent Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"84","Keys School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"85","Kipp Bayview Academy","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"86","KIPP SF Bay Academy","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"87","Kittredge School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"88","KZV Armenian School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"89","La Scuola International School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"90","Lawton Alternative School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"91","Lick-Wilmerding High School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"92","Lipman Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"93","Live Oak School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"94","Lowell High School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"95","Lycee Francais de San Francisco","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"96","Manuel F. Cunha School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"97","Marin Academy","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"98","Marin Catholic","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"99","Marin Country Day School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"100","Marin Horizon School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"101","Marin Montessori School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"102","Marin Preparatory School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"103","Marin Primary & Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"104","Marina Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"105","Mark Day School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"106","Martin Luther King Jr. Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"107","Menlo School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"108","Mercy High School Burlingame","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"109","Mill Valley Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"110","Millennium School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"111","Miller Creek Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"112","Mills High School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"113","Mission Dolores Academy","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"114","Mount Tamalpais School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"115","Notre Dame Belmont","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"116","Ocean Shore School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"117","Oceana High School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"118","Our Lady of Angels School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"119","Our Lady of Loretto School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"120","Our Lady of Mercy School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"121","Our Lady of Mount Carmel School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"122","Our Lady of Perpetual Help School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"123","Our Lady of the Visitacion School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"124","Parkside Intermediate School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"125","Piedmont Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"126","Presidio Hill School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"127","Presidio Knolls School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"128","Presidio Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"129","Ralston Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"130","Redwood High School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"131","Ring Mountain Day School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"132","Rooftop Alternative School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"133","Roosevelt Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"134","Ross Grammar School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"135","Ruth Asawa San Francisco School of the Arts","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"136","Sacred Heart Cathedral Prep","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"137","Sacred Heart Preparatory - Atherton","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"138","Sacred Heart Schools, Atherton","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"139","Saint Anne School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"140","Saint Anselm School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"141","Saint Anthony - ICA","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"142","Saint Brendan School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"143","Saint Brigid School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"144","Saint Catherine of Siena School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"145","Saint Cecilia School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
